time,tmin,tmax
2023-01-01,7.3,22.0
2023-01-02,11.0,20.0
2023-01-03,11.2,14.4
2023-01-04,11.6,17.4
2023-01-05,10.0,16.0
2023-01-06,9.0,19.1
2023-01-07,7.2,18.4
2023-01-08,2.9,20.0
2023-01-09,3.7,20.6
2023-01-10,6.7,20.1
2023-01-11,7.0,21.0
2023-01-12,4.5,22.5
2023-01-13,6.7,24.7
2023-01-14,9.8,26.4
2023-01-15,10.2,21.3
2023-01-16,5.5,20.8
2023-01-17,3.7,20.7
2023-01-18,3.7,20.6
2023-01-19,4.0,21.4
2023-01-20,4.2,23.1
2023-01-21,7.0,24.0
2023-01-22,11.4,25.2
2023-01-23,10.5,27.0
2023-01-24,11.0,28.2
2023-01-25,12.8,29.1
2023-01-26,14.3,27.5
2023-01-27,13.7,26.4
2023-01-28,12.4,24.2
2023-01-29,5.7,25.6
2023-01-30,6.2,28.1
2023-01-31,11.3,26.0
2023-02-01,14.0,24.6
2023-02-02,12.0,23.4
2023-02-03,7.4,24.8
2023-02-04,9.0,25.4
2023-02-05,9.0,28.0
2023-02-06,9.0,28.0
2023-02-07,10.5,30.1
2023-02-08,14.0,27.6
2023-02-09,7.5,26.4
2023-02-10,8.5,28.8
2023-02-11,10.0,31.5
2023-02-12,15.0,28.0
2023-02-13,12.8,27.8
2023-02-14,8.8,25.0
2023-02-15,7.6,25.1
2023-02-16,8.7,26.5
2023-02-17,10.6,28.3
2023-02-18,12.6,29.8
2023-02-19,15.0,29.6
2023-02-20,15.0,30.3
2023-02-21,12.3,32.1
2023-02-22,13.2,33.0
2023-02-23,12.7,32.5
2023-02-24,11.6,31.2
2023-02-25,9.8,31.6
2023-02-26,10.7,31.0
2023-02-27,10.3,31.5
2023-02-28,13.0,33.0
2023-03-01,12.2,33.2
2023-03-02,14.0,33.2
2023-03-03,15.0,33.7
2023-03-04,14.7,33.2
2023-03-05,14.8,32.0
2023-03-06,14.8,32.3
2023-03-07,14.0,31.8
2023-03-08,17.0,27.5
2023-03-09,14.0,31.6
2023-03-10,16.2,31.9
2023-03-11,15.6,32.1
2023-03-12,15.8,32.8
2023-03-13,14.4,33.4
2023-03-14,16.5,33.1
2023-03-15,16.0,34.6
2023-03-16,17.8,34.6
2023-03-17,17.8,27.0
2023-03-18,16.6,30.0
2023-03-19,18.3,28.3
2023-03-20,18.0,24.0
2023-03-21,15.0,29.0
2023-03-22,15.1,31.6
2023-03-23,14.7,32.7
2023-03-24,15.7,34.0
2023-03-25,17.1,36.6
2023-03-26,18.2,35.0
2023-03-27,16.6,34.5
2023-03-28,18.5,34.6
2023-03-29,16.9,36.0
2023-03-30,19.0,36.6
2023-03-31,20.4,30.5
2023-04-01,17.6,30.4
2023-04-02,16.7,33.6
2023-04-03,17.0,36.1
2023-04-04,18.4,38.5
2023-04-05,21.0,36.0
2023-04-06,16.2,37.6
2023-04-07,16.2,37.2
2023-04-08,20.2,38.9
2023-04-09,19.8,37.8
2023-04-10,19.3,38.4
2023-04-11,18.1,39.5
2023-04-12,18.6,40.3
2023-04-13,20.6,41.3
2023-04-14,21.6,41.5
2023-04-15,21.5,41.6
2023-04-16,23.5,41.7
2023-04-17,22.7,43.0
2023-04-18,21.7,43.5
2023-04-19,22.3,43.2
2023-04-20,23.8,42.5
2023-04-21,21.8,38.5
2023-04-22,19.3,37.5
2023-04-23,19.7,33.0
2023-04-24,19.6,33.6
2023-04-25,19.6,33.8
2023-04-26,21.8,36.5
2023-04-27,23.0,31.8
2023-04-28,19.2,38.0
2023-04-29,23.2,34.6
2023-04-30,23.6,34.4
2023-05-01,20.3,32.3
2023-05-02,20.4,33.9
2023-05-03,24.7,32.8
2023-05-04,22.6,35.0
2023-05-05,22.7,36.2
2023-05-06,19.4,38.1
2023-05-07,23.0,40.0
2023-05-08,20.8,41.2
2023-05-09,22.2,41.2
2023-05-10,20.7,41.2
2023-05-11,20.2,40.6
2023-05-12,19.8,39.5
2023-05-13,26.2,39.0
2023-05-14,24.2,40.1
2023-05-15,27.2,40.0
2023-05-16,23.2,42.4
2023-05-17,24.0,41.8
2023-05-18,22.8,39.6
2023-05-19,23.7,42.2
2023-05-20,23.4,42.6
2023-05-21,23.3,43.3
2023-05-22,26.4,40.9
2023-05-23,27.6,36.0
2023-05-24,24.6,38.0
2023-05-25,26.0,40.2
2023-05-26,22.8,35.4
2023-05-27,19.8,36.2
2023-05-28,23.2,39.2
2023-05-29,29.0,40.3
2023-05-30,25.6,41.5
2023-05-31,28.2,41.6
2023-06-01,25.8,40.8
2023-06-02,25.1,41.6
2023-06-03,27.0,42.0
2023-06-04,26.4,42.2
2023-06-05,29.0,39.4
2023-06-06,26.1,41.5
2023-06-07,26.4,42.6
2023-06-08,26.0,42.8
2023-06-09,26.2,43.3
2023-06-10,27.0,42.0
