<ticker>,<name>,<date>,<open>,<high>,<low>,<close>,<volume>, <o/i>
COPPER-1-MCX,,06/17/2004,123.00,125.50,120.00,122.70,360000,0
COPPER-1-MCX,,06/21/2004,120.00,124.50,118.10,121.55,220000,0
COPPER-1-MCX,,06/23/2004,118.50,124.00,117.60,121.70,700000,0
COPPER-1-MCX,,06/25/2004,121.00,126.00,117.00,123.05,628000,0
COPPER-1-MCX,,07/02/2004,126.75,127.00,125.50,126.10,22000,0
COPPER-1-MCX,,07/05/2004,121.50,121.50,121.50,121.50,2000,0
COPPER-1-MCX,,07/06/2004,125.00,125.00,125.00,125.00,2000,0
COPPER-1-MCX,,07/16/2004,128.50,128.50,128.50,128.50,20000,0
COPPER-1-MCX,,07/22/2004,131.00,131.00,131.00,131.00,2000,0
COPPER-1-MCX,,08/13/2004,124.00,129.60,123.50,128.65,400000,0
COPPER-1-MCX,,09/01/2004,130.00,130.50,121.00,129.80,42000,0
COPPER-1-MCX,,09/02/2004,129.80,129.80,125.00,127.50,80000,0
COPPER-1-MCX,,09/03/2004,130.00,130.00,130.00,130.00,20000,0
COPPER-1-MCX,,09/04/2004,129.00,129.00,125.50,127.25,240000,0
COPPER-1-MCX,,09/16/2004,122.15,122.15,122.15,122.15,1000,0
COPPER-1-MCX,,10/06/2004,138.60,145.60,138.60,142.10,410000,0
COPPER-1-MCX,,10/08/2004,147.00,147.00,137.00,142.30,320000,0
COPPER-1-MCX,,10/11/2004,148.00,148.00,148.00,148.00,1000,0
COPPER-1-MCX,,10/15/2004,145.00,145.00,138.00,141.90,40000,0
COPPER-1-MCX,,10/19/2004,134.00,141.00,131.00,135.65,91000,0
COPPER-1-MCX,,10/20/2004,135.00,141.00,131.00,137.55,124000,0
COPPER-1-MCX,,10/28/2004,132.50,134.50,132.50,133.50,60000,0
COPPER-1-MCX,,11/01/2004,139.00,139.00,139.00,139.00,1000,0
COPPER-1-MCX,,11/18/2004,139.00,139.00,139.00,139.00,1000,0
COPPER-1-MCX,,12/06/2004,147.00,149.00,138.30,141.30,126000,0
COPPER-1-MCX,,12/17/2004,135.70,146.20,135.70,140.95,4000,0
COPPER-1-MCX,,12/21/2004,136.00,146.00,136.00,141.00,4000,0
COPPER-1-MCX,,12/22/2004,136.00,145.00,136.00,140.50,2000,0
COPPER-1-MCX,,12/24/2004,141.00,141.00,140.95,141.00,2000,0
COPPER-1-MCX,,12/27/2004,140.00,146.00,140.00,143.00,4000,0
COPPER-1-MCX,,12/28/2004,147.90,147.90,137.60,142.75,4000,0
COPPER-1-MCX,,01/05/2005,143.45,144.00,134.75,139.30,8000,0
COPPER-1-MCX,,01/07/2005,133.70,133.70,133.70,133.70,1000,0
COPPER-1-MCX,,01/10/2005,139.05,139.05,139.05,139.05,1000,0
COPPER-1-MCX,,01/11/2005,138.30,138.80,133.60,136.40,11000,0
COPPER-1-MCX,,01/12/2005,131.10,141.70,131.10,136.40,10000,0
COPPER-1-MCX,,01/17/2005,141.00,141.00,132.00,136.50,6000,0
COPPER-1-MCX,,01/18/2005,141.50,141.50,132.00,136.65,12000,0
COPPER-1-MCX,,01/19/2005,134.00,142.00,132.50,137.25,15000,0
COPPER-1-MCX,,01/20/2005,132.05,142.70,131.80,137.30,176000,0
COPPER-1-MCX,,01/21/2005,132.50,141.00,132.50,136.75,4000,0
COPPER-1-MCX,,01/22/2005,132.10,142.00,132.10,137.10,200000,0
COPPER-1-MCX,,02/01/2005,138.50,138.50,138.50,138.50,2000,0
COPPER-1-MCX,,02/02/2005,138.40,138.40,138.10,138.25,10000,0
COPPER-1-MCX,,02/03/2005,136.10,136.10,135.35,135.70,6000,0
COPPER-1-MCX,,02/04/2005,135.10,138.00,134.10,135.75,25000,0
COPPER-1-MCX,,02/07/2005,134.00,135.40,133.90,134.50,54000,0
COPPER-1-MCX,,02/08/2005,135.00,135.00,135.00,135.00,1000,0
COPPER-1-MCX,,02/09/2005,136.00,136.80,136.00,136.35,20000,0
COPPER-1-MCX,,02/14/2005,138.25,138.30,138.25,138.30,2000,0
COPPER-1-MCX,,02/15/2005,135.20,138.00,135.20,137.10,46000,0
COPPER-1-MCX,,02/21/2005,136.80,142.00,136.80,139.10,283000,0
COPPER-1-MCX,,02/22/2005,139.10,143.00,139.10,141.35,166000,0
COPPER-1-MCX,,02/23/2005,140.10,146.90,140.10,144.05,69000,0
COPPER-1-MCX,,02/24/2005,138.40,149.70,138.40,142.00,118000,0
COPPER-1-MCX,,02/28/2005,142.00,149.40,142.00,149.40,1000,0
COPPER-1-MCX,,03/02/2005,127.00,136.40,127.00,131.90,245000,0
COPPER-1-MCX,,03/03/2005,138.05,144.90,138.05,140.80,65000,0
COPPER-1-MCX,,03/07/2005,138.70,145.20,138.70,141.95,12000,0
COPPER-1-MCX,,03/08/2005,138.10,146.25,138.10,142.20,10000,0
COPPER-1-MCX,,03/10/2005,145.50,145.50,145.40,145.45,4000,0
COPPER-1-MCX,,03/11/2005,143.00,143.00,143.00,143.00,6000,0
COPPER-1-MCX,,03/12/2005,142.25,144.15,142.25,143.20,2000,0
COPPER-1-MCX,,03/14/2005,142.00,142.00,142.00,142.00,1000,0
COPPER-1-MCX,,03/15/2005,143.25,143.40,143.25,143.30,4000,0
COPPER-1-MCX,,03/16/2005,144.50,145.00,140.00,143.15,10000,0
COPPER-1-MCX,,03/21/2005,144.90,144.95,142.25,144.35,34000,0
COPPER-1-MCX,,03/22/2005,138.60,144.70,138.60,141.65,10000,0
COPPER-1-MCX,,03/23/2005,140.20,144.55,140.20,142.70,120000,0
COPPER-1-MCX,,03/24/2005,143.40,143.45,141.30,142.85,56000,0
COPPER-1-MCX,,03/28/2005,142.00,144.70,141.80,142.90,26000,0
COPPER-1-MCX,,04/18/2005,137.25,148.55,137.25,144.05,24000,0
COPPER-1-MCX,,04/20/2005,143.00,143.00,143.00,143.00,10000,0
COPPER-1-MCX,,04/25/2005,137.40,148.60,137.40,144.10,24000,0
COPPER-1-MCX,,04/27/2005,143.25,145.00,142.00,143.55,8000,0
COPPER-1-MCX,,04/28/2005,149.30,149.30,141.00,143.75,3000,0
COPPER-1-MCX,,05/02/2005,142.00,142.50,142.00,142.25,2000,0
COPPER-1-MCX,,05/03/2005,141.00,141.00,139.90,140.45,4000,0
COPPER-1-MCX,,05/04/2005,139.50,139.50,139.50,139.50,2000,0
COPPER-1-MCX,,05/05/2005,139.00,139.00,139.00,139.00,1000,0
COPPER-1-MCX,,05/12/2005,136.00,136.00,136.00,136.00,2000,0
COPPER-1-MCX,,05/13/2005,131.50,131.50,130.55,130.90,5000,0
COPPER-1-MCX,,05/16/2005,130.20,131.50,128.00,129.75,1285000,0
COPPER-1-MCX,,05/17/2005,127.65,131.55,127.65,129.70,252000,0
COPPER-1-MCX,,05/18/2005,130.85,132.00,129.90,131.75,233000,0
COPPER-1-MCX,,05/19/2005,133.10,133.10,131.00,131.55,242000,0
COPPER-1-MCX,,05/20/2005,130.50,132.00,129.85,130.85,162000,0
COPPER-1-MCX,,05/21/2005,130.80,131.35,130.80,131.20,64000,0
COPPER-1-MCX,,05/23/2005,131.00,133.80,130.70,133.00,215000,0
COPPER-1-MCX,,05/24/2005,132.80,135.50,132.70,134.35,173000,0
COPPER-1-MCX,,05/25/2005,134.80,136.00,134.25,135.85,290000,0
COPPER-1-MCX,,05/26/2005,135.50,139.90,135.00,139.10,522000,0
COPPER-1-MCX,,05/27/2005,138.50,139.60,137.90,138.35,522000,0
COPPER-1-MCX,,05/28/2005,139.00,139.00,138.60,138.90,17000,0
COPPER-1-MCX,,05/30/2005,138.90,139.25,138.45,138.60,35000,0
COPPER-1-MCX,,05/31/2005,138.20,139.75,137.00,139.55,173000,0
COPPER-1-MCX,,06/01/2005,139.30,142.20,138.30,141.75,265000,0
COPPER-1-MCX,,06/02/2005,141.80,144.50,141.25,143.70,220000,0
COPPER-1-MCX,,06/03/2005,145.00,149.95,143.80,148.60,410000,0
COPPER-1-MCX,,06/04/2005,149.10,150.40,148.00,148.65,114000,0
COPPER-1-MCX,,06/06/2005,149.65,151.85,148.00,148.70,636000,0
COPPER-1-MCX,,06/07/2005,148.20,150.15,147.00,147.15,471000,0
COPPER-1-MCX,,06/08/2005,147.85,147.90,146.45,147.10,492000,0
COPPER-1-MCX,,06/09/2005,147.00,148.00,146.55,147.75,831000,0
COPPER-1-MCX,,06/10/2005,148.50,149.10,147.60,148.90,671000,0
COPPER-1-MCX,,06/11/2005,148.70,148.80,148.60,148.70,25000,0
COPPER-1-MCX,,06/13/2005,148.10,149.25,147.10,147.30,854000,0
COPPER-1-MCX,,06/14/2005,146.70,148.05,145.60,146.30,1580000,0
COPPER-1-MCX,,06/15/2005,146.25,148.00,146.15,147.90,460000,0
COPPER-1-MCX,,06/16/2005,147.80,150.65,147.50,149.40,380000,0
COPPER-1-MCX,,06/17/2005,150.00,153.95,149.90,153.35,1682000,0
COPPER-1-MCX,,06/18/2005,153.10,153.40,152.50,152.80,183000,0
COPPER-1-MCX,,06/20/2005,154.00,154.95,151.65,151.85,400000,0
COPPER-1-MCX,,06/21/2005,152.00,152.90,150.25,152.40,714000,0
COPPER-1-MCX,,06/22/2005,152.00,152.00,149.80,150.75,429000,0
COPPER-1-MCX,,06/23/2005,150.10,151.25,147.50,150.95,536000,0
COPPER-1-MCX,,06/24/2005,150.75,153.70,150.75,152.00,381000,0
COPPER-1-MCX,,06/25/2005,152.50,152.80,152.05,152.15,67000,0
COPPER-1-MCX,,06/27/2005,152.00,153.35,151.65,152.25,135000,0
COPPER-1-MCX,,06/28/2005,152.25,153.00,151.50,152.50,160000,0
COPPER-1-MCX,,06/29/2005,152.20,152.85,150.60,152.40,553000,0
COPPER-1-MCX,,06/30/2005,153.00,156.00,148.50,149.00,595000,0
COPPER-1-MCX,,07/01/2005,144.80,146.75,142.00,142.95,527000,0
COPPER-1-MCX,,07/02/2005,142.05,142.70,142.00,142.35,30000,0
COPPER-1-MCX,,07/04/2005,141.00,143.70,141.00,143.20,97000,0
COPPER-1-MCX,,07/05/2005,143.30,144.45,142.95,144.10,245000,0
COPPER-1-MCX,,07/06/2005,144.40,147.40,144.10,146.50,462000,0
COPPER-1-MCX,,07/07/2005,147.10,148.00,145.00,146.45,1374000,0
COPPER-1-MCX,,07/08/2005,145.60,149.50,145.60,148.90,317000,0
COPPER-1-MCX,,07/09/2005,148.80,149.00,148.75,149.00,39000,0
COPPER-1-MCX,,07/11/2005,148.40,150.25,148.20,148.95,374000,0
COPPER-1-MCX,,07/12/2005,149.95,149.95,147.35,148.35,381000,0
COPPER-1-MCX,,07/13/2005,148.90,150.10,147.90,148.60,714000,0
COPPER-1-MCX,,07/14/2005,148.90,150.15,148.60,149.15,528000,0
COPPER-1-MCX,,07/15/2005,149.20,149.45,148.20,149.35,235000,0
COPPER-1-MCX,,07/16/2005,149.05,149.20,149.05,149.10,4000,0
COPPER-1-MCX,,07/18/2005,149.10,151.40,149.10,150.10,2794000,0
COPPER-1-MCX,,07/19/2005,150.30,151.80,149.85,151.40,773000,0
COPPER-1-MCX,,07/20/2005,151.60,152.45,151.10,151.90,501000,0
COPPER-1-MCX,,07/21/2005,152.00,152.95,149.85,150.20,1366000,0
COPPER-1-MCX,,07/22/2005,150.90,153.20,150.60,152.65,964000,0
COPPER-1-MCX,,07/23/2005,152.65,152.85,152.60,152.65,32000,0
COPPER-1-MCX,,07/25/2005,153.00,154.20,153.00,154.05,814000,0
COPPER-1-MCX,,07/26/2005,154.15,154.20,153.30,153.90,191000,0
COPPER-1-MCX,,07/27/2005,153.50,155.75,153.10,155.05,511000,0
COPPER-1-MCX,,07/29/2005,155.45,157.90,155.45,157.00,886000,0
COPPER-1-MCX,,07/30/2005,157.00,157.00,156.80,156.85,42000,0
COPPER-1-MCX,,08/01/2005,156.80,157.00,156.35,156.55,85000,0
COPPER-1-MCX,,08/02/2005,157.30,159.45,157.30,158.90,566000,0
COPPER-1-MCX,,08/03/2005,158.50,159.20,157.95,159.10,338000,0
COPPER-1-MCX,,08/04/2005,158.80,159.25,157.55,158.25,476000,0
COPPER-1-MCX,,08/05/2005,158.20,158.60,157.25,157.60,995000,0
COPPER-1-MCX,,08/06/2005,158.00,158.00,157.75,157.85,8000,0
COPPER-1-MCX,,08/08/2005,157.40,158.10,156.50,157.40,248000,0
COPPER-1-MCX,,08/09/2005,157.25,157.90,153.55,154.40,849000,0
COPPER-1-MCX,,08/10/2005,154.50,157.20,153.25,156.60,618000,0
COPPER-1-MCX,,08/11/2005,157.60,158.00,155.45,157.40,1538000,0
COPPER-1-MCX,,08/12/2005,157.15,161.50,157.15,160.40,1464000,0
COPPER-1-MCX,,08/13/2005,160.80,161.90,160.20,161.40,51000,0
COPPER-1-MCX,,08/16/2005,162.20,166.70,161.50,164.60,734000,0
COPPER-1-MCX,,08/17/2005,164.90,164.90,157.50,159.20,1841000,0
COPPER-1-MCX,,08/18/2005,159.50,161.70,157.55,159.65,1256000,0
COPPER-1-MCX,,08/19/2005,160.65,160.65,157.25,159.10,311000,0
COPPER-1-MCX,,08/20/2005,159.10,159.45,158.90,159.15,18000,0
COPPER-1-MCX,,08/22/2005,158.90,162.00,158.80,161.70,215000,0
COPPER-1-MCX,,08/23/2005,161.45,162.90,161.10,162.70,178000,0
