Date,Price,Open,High,Low,Volume,Chg%
"Feb 29, 2024","62,567","62,270","62,688","62,118",4.86K,0.51%
"Feb 28, 2024","62,249","62,215","62,360","62,077",3.09K,-0.08%
"Feb 27, 2024","62,301","62,200","62,385","62,180",3.23K,0.24%
"Feb 26, 2024","62,149","62,327","62,340","62,050",2.87K,-0.31%
"Feb 23, 2024","62,345","62,108","62,388","61,877",4.83K,0.59%
"Feb 22, 2024","61,977","62,155","62,308","61,951",3.22K,-0.21%
"Feb 21, 2024","62,108","62,211","62,279","62,052",2.00K,-0.09%
"Feb 20, 2024","62,167","62,007","62,258","61,931",3.25K,0.26%
"Feb 19, 2024","62,004","61,970","62,107","61,903",2.12K,0.20%
"Feb 16, 2024","61,878","61,651","61,904","61,451",3.97K,0.42%
"Feb 15, 2024","61,622","61,407","61,745","61,284",3.88K,0.29%
"Feb 14, 2024","61,443","61,393","61,478","61,190",3.33K,-0.10%
"Feb 13, 2024","61,504","62,173","62,399","61,400",6.87K,-0.92%
"Feb 12, 2024","62,078","62,240","62,328","61,926",3.68K,-0.35%
"Feb 09, 2024","62,294","62,464","62,544","62,170",3.27K,-0.24%
"Feb 08, 2024","62,443","62,436","62,557","62,182",4.72K,-0.13%
"Feb 07, 2024","62,524","62,515","62,730","62,401",3.52K,-0.08%
"Feb 06, 2024","62,574","62,261","62,625","62,220",3.42K,-1.21%
"Feb 05, 2024","63,338","62,836","65,040","62,501",0.07K,0.30%
"Feb 02, 2024","63,150","63,624","63,624","62,800",0.07K,-0.81%
"Feb 01, 2024","63,665","62,880","63,979","62,660",0.11K,1.12%
"Jan 31, 2024","62,958","62,573","63,039","62,560",0.26K,0.52%
"Jan 30, 2024","62,632","62,174","62,835","62,174",1.56K,0.72%
"Jan 29, 2024","62,186","62,080","62,299","62,041",4.56K,0.36%
"Jan 25, 2024","61,964","61,932","62,143","61,840",4.04K,-0.03%
"Jan 24, 2024","61,985","61,994","62,259","61,850",5.22K,0.03%
"Jan 23, 2024","61,968","61,904","62,224","61,811",4.63K,0.16%
"Jan 22, 2024","61,868","61,880","62,049","61,752",1.80K,-0.22%
"Jan 19, 2024","62,004","61,876","62,254","61,840",4.48K,0.38%
"Jan 18, 2024","61,769","61,539","61,800","61,482",4.43K,0.43%
"Jan 17, 2024","61,505","62,054","62,090","61,454",7.36K,-0.82%
